target,session_id,phase,phase_hours,norm_flux,bjd_tdb
Qatar-1,Qatar-1__2026-08-18,-0.05301775965699562,-1.8068760418252197,0.979402258822407,2461270.853768898
Qatar-1,Qatar-1__2026-08-18,-0.05160931075351982,-1.7588752851676412,1.0146294531557452,2461270.8557689297
Qatar-1,Qatar-1__2026-08-18,-0.05020086217837161,-1.7108745396996579,0.9984645651851496,2461270.8577689608
Qatar-1,Qatar-1__2026-08-18,-0.04808818898709433,-1.6388734103003384,0.9848161697029731,2461270.860769008
Qatar-1,Qatar-1__2026-08-18,-0.04667974008407327,-1.5908726536582578,0.9966710046701412,2461270.8627690393
Qatar-1,Qatar-1__2026-08-18,-0.04527129118059747,-1.5428718970006796,0.9707087889676779,2461270.864769071
Qatar-1,Qatar-1__2026-08-18,-0.04386284260544926,-1.494871151532696,1.0140644248344295,2461270.866769102
Qatar-1,Qatar-1__2026-08-18,-0.04245439370197346,-1.4468703948751176,0.996496915855687,2461270.8687691335
Qatar-1,Qatar-1__2026-08-18,-0.041045944798952405,-1.3988696382330372,0.9961874868948626,2461270.870769165
Qatar-1,Qatar-1__2026-08-18,-0.039637496223349444,-1.3508688927495556,1.009887396367184,2461270.872769196
Qatar-1,Qatar-1__2026-08-18,-0.03822904732032839,-1.3028681361074752,0.9873233063937341,2461270.8747692276
Qatar-1,Qatar-1__2026-08-18,-0.03682059874472543,-1.2548673906239938,0.977610825372771,2461270.8767692586
Qatar-1,Qatar-1__2026-08-18,-0.03541214984170438,-1.2068666339819134,1.0063732362884295,2461270.87876929
Qatar-1,Qatar-1__2026-08-18,-0.034003701266101416,-1.1588658884984318,1.0076138657880622,2461270.880769321
Qatar-1,Qatar-1__2026-08-18,-0.032595252362625615,-1.1108651318408533,1.009519973887031,2461270.8827693528
Qatar-1,Qatar-1__2026-08-18,-0.03048257949967592,-1.038864013631129,0.9721369084553344,2461270.8857693993
Qatar-1,Qatar-1__2026-08-18,-0.029074130596654868,-0.9908632569890485,1.001902780221217,2461270.887769431
Qatar-1,Qatar-1__2026-08-18,-0.027665682021051907,-0.9428625115055669,0.9944828981858983,2461270.889769462
Qatar-1,Qatar-1__2026-08-18,-0.026257233118030854,-0.8948617548634865,1.0046421228427151,2461270.8917694935
Qatar-1,Qatar-1__2026-08-18,-0.024848784542427893,-0.8468610093800049,0.9704500824758464,2461270.8937695245
Qatar-1,Qatar-1__2026-08-18,-0.02344033596727968,-0.7988602639120213,1.0144041622371947,2461270.8957695556
Qatar-1,Qatar-1__2026-08-18,-0.02203188706380388,-0.750859507254443,0.9706342282196706,2461270.897769587
Qatar-1,Qatar-1__2026-08-18,-0.020623438488655665,-0.7028587617864593,1.0056592553988308,2461270.899769618
Qatar-1,Qatar-1__2026-08-18,-0.019214989913052705,-0.6548580163029778,0.9788724106807082,2461270.9017696492
Qatar-1,Qatar-1__2026-08-18,-0.01780654133790449,-0.6068572708349941,0.9910134574239423,2461270.9037696803
Qatar-1,Qatar-1__2026-08-18,-0.01639809243442869,-0.5588565141774158,1.0067897460100161,2461270.905769712
Qatar-1,Qatar-1__2026-08-18,-0.014989643859280477,-0.5108557687094322,0.9768991899649632,2461270.907769743
Qatar-1,Qatar-1__2026-08-18,-0.012876970995876036,-0.4388546504842098,0.9913349922209309,2461270.9107697895
Qatar-1,Qatar-1__2026-08-18,-0.011468522420727822,-0.39085390501622613,0.9792726084800674,2461270.9127698205
