target,phase_hours,flux,err,n,n_nights
HATP-10,-0.07500000000000173,0.9906576635924462,0.007568715986029404,5,1
HATP-10,0.07499999999999818,0.9961556286155138,0.00391505146561948,5,1
HATP-10,0.2249999999999981,0.9986423900012087,0.01033737793816167,6,1
HATP-10,0.374999999999998,0.9910340719684291,0.005196743033689962,5,1
HATP-10,0.5249999999999979,1.0028613565223834,0.0031857290299836106,5,1
HATP-10,0.6749999999999978,1.0004064462051843,0.002153449693835464,5,1
HATP-10,0.8249999999999977,1.0106076077061201,0.006995632547370278,6,1
HATP-10,0.9749999999999974,1.012440186344569,0.004576944766784588,5,1
HATP-10,1.1249999999999973,1.008028587649868,0.006179898083769069,3,1
HATP-10,1.4249999999999976,1.0023044687874954,0.005261241456018319,4,1
HATP-10,1.574999999999997,1.0111556437853944,0.0018546587699699547,3,1
HATP-10,1.724999999999997,1.0072571742516923,0.023841518112540826,3,1
HATP-10,2.0249999999999972,1.020467701686597,0.012835144665139353,4,1
HATP-10,2.1749999999999967,0.9877838899437805,0.011923258628750369,3,1
HATP-10,2.3249999999999966,1.0082873622122408,0.00426178500100804,3,1
Qatar-1,-1.7250000000000008,1.0033195548811467,0.0030335741957071816,5,2
Qatar-1,-1.5750000000000008,0.9918743342787374,0.00403170974803226,6,2
Qatar-1,-1.425000000000001,0.996496915855687,0.0036229666524168203,7,2
Qatar-1,-1.275000000000001,0.9966963995223186,0.004412911857690228,6,2
Qatar-1,-1.125000000000001,1.009519973887031,0.002228087031348925,5,2
Qatar-1,-0.9750000000000012,0.9964850113782645,0.0041774801992674965,6,2
Qatar-1,-0.8250000000000013,0.9994049348871897,0.005926491477256546,7,2
Qatar-1,-0.6750000000000014,1.0021378404925776,0.0038271299387001834,6,2
Qatar-1,-0.5250000000000015,1.0067897460100161,0.006308565688591488,5,2
Qatar-1,-0.37500000000000155,0.9967043652347773,0.009939765367681864,6,2
Qatar-1,-0.22500000000000164,1.010320199565035,0.009222409734641732,7,2
Qatar-1,-0.07500000000000173,1.002283934086111,0.008604893399343031,6,2
Qatar-1,0.07499999999999818,1.000051978407742,0.0036596566140715023,5,2
Qatar-1,0.2249999999999981,1.007056813601157,0.0070953740098580395,6,2
Qatar-1,0.374999999999998,0.9916861014887652,0.005240762527767672,7,2
Qatar-1,0.5249999999999979,0.9985991700360832,0.0014263636021710597,6,2
Qatar-1,0.6749999999999978,1.002961076722112,0.007582424798450502,5,2
Qatar-1,0.8249999999999977,0.9974082814566538,0.004153308918405572,6,2
Qatar-1,0.9749999999999974,0.9880609128854093,0.00704579447784541,7,2
Qatar-1,1.1249999999999973,0.9959690657228583,0.003878677449263898,6,2
Qatar-1,1.2749999999999977,0.991257369970404,0.00960774554676702,5,2
Qatar-1,1.4249999999999976,0.9958928994103078,0.005809250320923963,6,2
Qatar-1,1.574999999999997,0.9920276489019962,0.006072726415443359,7,2
Qatar-1,1.724999999999997,1.0039762044855194,0.0006082634276242452,3,1
TRES-3,-1.5750000000000008,1.0010180688935593,0.005712403792770242,6,3
TRES-3,-1.425000000000001,0.9985378012091477,0.01175837457455787,11,3
TRES-3,-1.275000000000001,1.0016340057961859,0.005723807761234003,9,3
TRES-3,-1.125000000000001,0.9999787014643443,0.013943868125523088,9,3
TRES-3,-0.9750000000000012,1.0022299369241117,0.03525742503872718,8,3
TRES-3,-0.8250000000000013,0.9989729806779113,0.007906545111408796,8,3
TRES-3,-0.6750000000000014,1.019620018699414,0.07786509495971089,11,4
