session_id,frame_index,target_x,target_y,target_flux,target_sky,comp_flux_sum,n_comps_ok,t_utc,MJD-OBS,airmass,TELALT,WEATHER,sky_level,CAMTEMP,target,rel_flux,norm_flux,target_only_norm,bjd_tdb
CoRoT-2__2026-08-09,55,386.19258102303786,193.8824677860211,12756.0,34.0,86327.0,8,2026-08-09 08:03:16.131000+00:00,61261.336,1.419600274623916,44.783,100,406.0,280.0,CoRoT-2,0.14776373556361277,1.006768950547748,1.0056962649058836,2461261.8418096094
CoRoT-2__2026-08-09,56,391.69139998901375,195.89450204362768,12824.0,36.5,86361.5,8,2026-08-09 08:06:16.686000+00:00,61261.338,1.4329666108196937,44.255,100,406.0,279.0,CoRoT-2,0.14849209427812163,1.011731527703986,1.0110574554055385,2461261.843809538
CoRoT-2__2026-08-09,57,391.2067046203517,202.07200800749612,12710.0,37.0,86167.0,8,2026-08-09 08:09:16.262000+00:00,61261.34,1.4468166692950928,43.723,100,406.0,279.0,CoRoT-2,0.1475042649738299,1.005001081507504,1.0020695772149404,2461261.845809466
CoRoT-2__2026-08-09,58,394.8334996110754,200.40575990273382,12589.0,34.0,86092.0,8,2026-08-09 08:12:15.775000+00:00,61261.342,1.4612001001659691,43.186,100,406.0,280.0,CoRoT-2,0.14622729173442364,0.9963005908004242,0.9925298117670247,2461261.847809395
CoRoT-2__2026-08-09,59,392.24160663691606,200.10522666028263,12455.5,36.0,85711.5,8,2026-08-09 08:15:15.203000+00:00,61261.344,1.4761152227892702,42.645,100,405.0,279.0,CoRoT-2,0.14531888953057642,0.9901113107991156,0.9820045333596137,2461261.8498093234
CoRoT-2__2026-08-09,60,392.3512012792286,196.6001322657481,12588.0,36.0,85550.0,8,2026-08-09 08:18:15.809000+00:00,61261.346,1.4916163651438297,42.099,100,405.0,279.0,CoRoT-2,0.14714202220923436,1.002532987651022,0.9924509707302651,2461261.851809252
CoRoT-2__2026-08-09,61,395.1205548247281,196.82369734720154,12360.0,33.0,84925.0,8,2026-08-09 08:21:15.345000+00:00,61261.348,1.5076739480972714,41.55,100,405.0,280.0,CoRoT-2,0.14554018251398293,0.9916190616949492,0.9744752143490687,2461261.85380918
CoRoT-2__2026-08-09,62,395.77547452835967,198.29983342377477,12487.5,36.0,84527.0,8,2026-08-09 08:24:16.967000+00:00,61261.35,1.524467352843888,40.993,100,405.0,279.0,CoRoT-2,0.1477338601866859,1.006565398561456,0.984527446535922,2461261.855809109
CoRoT-2__2026-08-09,63,397.36479497403064,195.09545736190773,12445.0,36.0,84049.5,8,2026-08-09 08:27:15.473000+00:00,61261.352,1.5416917061950144,40.439,100,405.0,279.0,CoRoT-2,0.1480675078376433,1.0088386633386752,0.9811767024736375,2461261.857809037
CoRoT-2__2026-08-09,64,399.02828185047514,199.39461099760706,12318.0,34.0,83713.0,8,2026-08-09 08:30:16.104000+00:00,61261.354,1.55965264019761,39.879,100,406.0,280.0,CoRoT-2,0.147145604625327,1.002557395976084,0.9711638908051641,2461261.8598089656
CoRoT-2__2026-08-09,65,397.63935371980176,203.26556404610278,12125.0,34.0,82809.0,8,2026-08-09 08:33:15.670000+00:00,61261.356,1.5783577142037404,39.314,100,406.0,280.0,CoRoT-2,0.14642128271081645,0.9976223230304181,0.9559475707105548,2461261.8618088937
CoRoT-2__2026-08-09,66,400.78137339068854,201.33164938781326,12308.0,34.0,82586.0,8,2026-08-09 08:36:17.181000+00:00,61261.359,1.597847892062535,38.744,100,406.0,280.0,CoRoT-2,0.14903252367229314,1.015413672933598,0.9703754804375677,2461261.864808786
CoRoT-2__2026-08-09,67,403.82827694693987,203.29072947292346,12003.5,37.5,82396.0,8,2026-08-09 08:39:16.732000+00:00,61261.361,1.6179157319001385,38.176,100,407.0,279.0,CoRoT-2,0.14568061556386233,0.9925758839741777,0.9463683847442594,2461261.8668087143
CoRoT-2__2026-08-09,68,405.67485153485137,198.42181521516747,12212.0,34.0,81691.0,8,2026-08-09 08:42:16.571000+00:00,61261.363,1.6388799497244668,37.602,100,407.0,280.0,CoRoT-2,0.14949015191391954,1.018531663303873,0.9628067409086429,2461261.8688086425
CoRoT-2__2026-08-09,69,406.9156755172985,197.99394110718524,12124.0,35.0,81968.5,8,2026-08-09 08:45:16.175000+00:00,61261.365,1.6606402847909492,37.026,100,407.0,280.0,CoRoT-2,0.14791047780549846,1.0077687596842777,0.9558687296737952,2461261.8708085706
CoRoT-2__2026-08-09,70,405.7618389529029,203.35896047992233,12224.0,35.0,82309.0,8,2026-08-09 08:48:15.706000+00:00,61261.367,1.6833177500315335,36.446,100,408.0,280.0,CoRoT-2,0.14851352828973746,1.0118775655481038,0.9637528333497586,2461261.872808499
CoRoT-2__2026-08-09,71,408.60053444244153,204.02565200648147,12302.5,38.5,81739.5,8,2026-08-09 08:51:16.434000+00:00,61261.369,1.7068828846476487,35.864,100,408.0,279.0,CoRoT-2,0.15050862801950096,1.0254709174859842,0.9699418547353897,2461261.874808427
CoRoT-2__2026-08-09,72,407.15280049533766,201.19819444587407,12323.0,40.0,81507.5,8,2026-08-09 08:54:17.087000+00:00,61261.371,1.7315973473338786,35.275,100,409.0,279.0,CoRoT-2,0.15118854093181608,1.030103415484119,0.9715580959889623,2461261.876808355
CoRoT-2__2026-08-09,73,409.7642991063807,198.97188256026354,11923.5,41.0,81227.0,8,2026-08-09 08:57:15.534000+00:00,61261.373,1.7570049061065645,34.691,100,410.0,279.0,CoRoT-2,0.14679232274982457,1.000150355969343,0.9400611018034887,2461261.8788082832
CoRoT-2__2026-08-09,74,410.6705938168447,195.40343070853532,12072.0,38.0,81151.0,8,2026-08-09 09:00:16.098000+00:00,61261.375,1.7838169522033211,34.097,100,410.0,280.0,CoRoT-2,0.1487597195351875,1.0135549575067624,0.9517689957622942,2461261.880808211
CoRoT-2__2026-08-09,75,414.97303087810906,206.69562945742157,11850.0,39.0,80876.0,8,2026-08-09 09:03:15.600000+00:00,61261.377,1.8114189272565584,33.508,100,411.0,280.0,CoRoT-2,0.1465205994361739,0.9982990045922274,0.9342662856016557,2461261.882808139
CoRoT-2__2026-08-09,76,415.12006186307093,205.1805796452426,11889.5,41.5,79741.0,8,2026-08-09 09:06:15.219000+00:00,61261.379,1.8403837402607168,32.913,100,411.0,279.0,CoRoT-2,0.14910146599616259,1.0158834024703183,0.9373805065536612,2461261.884808067
CoRoT-2__2026-08-09,77,413.42341992466095,207.23980365539342,11845.5,42.0,79049.0,8,2026-08-09 09:09:15.827000+00:00,61261.381,1.870598119549873,32.316,100,411.0,279.0,CoRoT-2,0.14985009298030336,1.0209840748396268,0.9339115009362373,2461261.886807995
CoRoT-2__2026-08-09,78,417.6863525847178,206.7487039288586,11644.5,46.0,78765.0,8,2026-08-09 09:12:16.358000+00:00,61261.384,1.9021385163458893,31.717,100,412.0,278.0,CoRoT-2,0.14783850695105694,1.0072783956492881,0.918064452547551,2461261.889807887
CoRoT-2__2026-08-09,79,417.9961138164001,208.68811008555855,11540.0,40.0,78897.0,8,2026-08-09 09:15:15.871000+00:00,61261.386,1.9351437300253127,31.115,100,412.0,280.0,CoRoT-2,0.14626665145696288,0.9965687631392158,0.9098255642061693,2461261.8918078146
CoRoT-2__2026-08-09,80,419.7790216270776,207.05199854653029,11517.0,38.0,77795.0,8,2026-08-09 09:18:15.489000+00:00,61261.388,1.9695941499519012,30.512,100,413.0,281.0,CoRoT-2,0.1480429333504724,1.0086712282737391,0.9080122203606977,2461261.8938077427
CoRoT-2__2026-08-09,81,419.4516246477848,205.05943329515122,11531.0,41.0,76910.0,8,2026-08-09 09:21:16.196000+00:00,61261.39,2.005641277445445,29.907,100,414.0,280.0,CoRoT-2,0.1499284878429333,1.021518208017008,0.9091159948753326,2461261.8958076704
CoRoT-2__2026-08-09,82,419.42146755616824,207.9386333288236,11518.5,45.0,76667.5,8,2026-08-09 09:24:15.903000+00:00,61261.392,2.0433916182045806,29.3,100,414.0,279.0,CoRoT-2,0.15023967130792057,1.0236384159914345,0.9081304819158372,2461261.897807598
CoRoT-2__2026-08-09,83,424.0507970351832,213.77495492799164,11432.5,46.0,75813.0,8,2026-08-09 09:27:15.451000+00:00,61261.394,2.082695723969729,28.695,100,415.0,279.0,CoRoT-2,0.150798675688866,1.0274471194720918,0.9013501527545087,2461261.8998075263
CoRoT-2__2026-08-09,84,422.66614995832003,210.94970458426863,11413.0,48.0,75319.5,8,2026-08-09 09:30:16.061000+00:00,61261.396,2.1244081859077526,28.081,100,417.0,279.0,CoRoT-2,0.15152782479968666,1.0324150818905682,0.8998127525376959,2461261.901807454
CoRoT-2__2026-08-09,85,426.4307878909497,210.05272026032094,11251.5,48.0,74348.5,8,2026-08-09 09:33:15.674000+00:00,61261.398,2.168006916903783,27.468,100,418.0,279.0,CoRoT-2,0.15133459316596837,1.031098523342903,0.8870799251010151,2461261.9038073816
CoRoT-2__2026-08-09,86,424.86124606005296,207.620262386697,10940.5,49.5,73455.5,8,2026-08-09 09:36:15.210000+00:00,61261.4,2.213691375358793,26.855,100,419.0,279.0,CoRoT-2,0.14894051500568373,1.0147867838774278,0.8625603626687691,2461261.9058073093
CoRoT-2__2026-08-16,1,399.35387356215347,222.69071634500108,13344.0,29.0,83741.0,8,2026-08-16 04:42:15.468000+00:00,61268.196,1.168278322645315,58.866,86,401.0,280.0,CoRoT-2,0.1593484672979783,0.9970567382239887,1.0706892401508465,2461268.7015370326
CoRoT-2__2026-08-16,2,392.4585030954348,222.81280171749412,12870.0,30.0,80622.0,8,2026-08-16 04:45:15.775000+00:00,61268.198,1.16630328923703,59.027,86,403.0,280.0,CoRoT-2,0.1596338468408127,0.9988423819829727,1.0326566637246248,2461268.703536944
CoRoT-2__2026-08-16,3,388.06308278602125,224.1654909592151,12461.0,31.0,77402.0,8,2026-08-16 04:48:15.283000+00:00,61268.2,1.1645380965360503,59.172,86,404.0,280.0,CoRoT-2,0.16099067207565695,1.007332151391699,0.9998395249939822,2461268.7055368554
CoRoT-2__2026-08-16,4,388.73770785635037,222.9828910852221,13025.0,34.0,81838.5,8,2026-08-16 04:51:15.688000+00:00,61268.202,1.1629663699883843,59.302,86,403.0,279.0,CoRoT-2,0.15915492097240297,0.9958457026153905,1.0450934766910054,2461268.707536767
CoRoT-2__2026-08-16,5,383.9278334384985,223.29239597133042,12934.0,34.0,81046.5,8,2026-08-16 04:54:16.108000+00:00,61268.204,1.1615964892008628,59.416,86,403.0,279.0,CoRoT-2,0.15958739735830665,0.9985517436711961,1.0377918639171948,2461268.709536678
CoRoT-2__2026-08-16,6,385.6271529069297,226.6543219859303,12548.0,32.0,78337.0,8,2026-08-16 04:57:16.545000+00:00,61268.206,1.1604251174558586,59.514,86,404.0,280.0,CoRoT-2,0.16017973626766407,1.0022580579577507,1.006820187755757,2461268.7115365895
