target,session_id,track_id,n_points,depth_pct,significance_sigma,median_flux,rms_ppt,expected_depth_pct,n_field_stars,field_p_value,field_sigma_95,field_sigma_median,depth_ratio
CoRoT-2,CoRoT-2__2026-08-09,816,80,1.2823450200741506,1.9068566867406118,1062.0,30.985094498019116,2.75,282,0.09219858156028368,2.345843003162465,0.2578296935627411,0.46630728002696387
CoRoT-2,CoRoT-2__2026-08-16,916,85,2.0765286967971557,1.8880807063615834,1259.5,52.338738529334755,2.75,263,0.11026615969581749,2.2539087962604873,0.39203035471863035,0.7551013442898747
CoRoT-2,CoRoT-2__2026-08-16,673,83,3.000908543138948,1.8642870290854054,619.0,76.69983944449072,2.75,263,0.11406844106463879,2.2539087962604873,0.39203035471863035,1.0912394702323447
CoRoT-2,CoRoT-2__2026-08-16,1005,82,1.4616833265614426,1.8402861713244152,1391.25,39.22327468088183,2.75,263,0.11787072243346007,2.2539087962604873,0.39203035471863035,0.5315212096587064
CoRoT-2,CoRoT-2__2026-08-09,635,85,2.0399567968087577,1.8209594978103611,608.0,53.669172179995414,2.75,282,0.09574468085106383,2.345843003162465,0.2578296935627411,0.741802471566821
CoRoT-2,CoRoT-2__2026-08-09,712,86,0.6108084856433343,1.8105430578863118,2852.5,16.008740976375062,2.75,282,0.09929078014184398,2.345843003162465,0.2578296935627411,0.22211217659757612
CoRoT-2,CoRoT-2__2026-08-09,779,86,1.1925324358444749,1.7770371779680325,999.0,32.588868136288504,2.75,282,0.10283687943262411,2.345843003162465,0.2578296935627411,0.4336481584889
CoRoT-2,CoRoT-2__2026-08-16,904,85,1.0477406847546316,1.7690314117928048,1516.5,28.84736115455122,2.75,263,0.12167300380228137,2.2539087962604873,0.39203035471863035,0.38099661263804785
CoRoT-2,CoRoT-2__2026-08-09,761,86,0.2838170726056737,1.7535622046892414,28785.5,7.689284498456127,2.75,282,0.10638297872340426,2.345843003162465,0.2578296935627411,0.10320620822024497
CoRoT-2,CoRoT-2__2026-08-16,662,84,1.5087294270361729,1.7500813191141036,850.75,41.174451117546965,2.75,263,0.12547528517110265,2.2539087962604873,0.39203035471863035,0.5486288825586083
CoRoT-2,CoRoT-2__2026-08-09,851,86,0.9173978715603699,1.744678504440569,1519.0,24.978831053109126,2.75,282,0.1099290780141844,2.345843003162465,0.2578296935627411,0.3335992260219527
CoRoT-2,CoRoT-2__2026-08-16,848,84,1.6994975338444656,1.7265562267677552,846.75,47.25978455996477,2.75,263,0.12927756653992395,2.2539087962604873,0.39203035471863035,0.6179991032161692
CoRoT-2,CoRoT-2__2026-08-16,877,85,0.855324700327528,1.72183340656178,1740.5,24.209743032057727,2.75,263,0.13307984790874525,2.2539087962604873,0.39203035471863035,0.31102716375546474
CoRoT-2,CoRoT-2__2026-08-09,623,76,3.532188675803057,1.7174814903717635,340.5,93.273772510401,2.75,282,0.11347517730496454,2.345843003162465,0.2578296935627411,1.2844322457465662
CoRoT-2,CoRoT-2__2026-08-16,735,79,0.9358148169791222,1.7111465629728702,1439.0,24.912825460780844,2.75,263,0.13688212927756654,2.2539087962604873,0.39203035471863035,0.34029629708331716
CoRoT-2,CoRoT-2__2026-08-09,900,86,0.8751939797603258,1.6812394100662138,2023.5,25.298689982756,2.75,282,0.11702127659574468,2.345843003162465,0.2578296935627411,0.3182523562764821
CoRoT-2,CoRoT-2__2026-08-09,746,85,1.1437604411160815,1.6681956199293748,1010.5,32.67164382253766,2.75,282,0.12056737588652482,2.345843003162465,0.2578296935627411,0.4159128876785751
CoRoT-2,CoRoT-2__2026-08-16,1046,81,1.8472695303418303,1.664260568457338,719.5,51.435475547990734,2.75,263,0.14068441064638784,2.2539087962604873,0.39203035471863035,0.6717343746697565
CoRoT-2,CoRoT-2__2026-08-09,808,86,1.0043012402340223,1.6571977902425261,1259.0,28.96884860111079,2.75,282,0.12411347517730496,2.345843003162465,0.2578296935627411,0.36520045099418996
CoRoT-2,CoRoT-2__2026-08-16,653,85,1.1844618944609093,1.6359914739626116,1376.0,35.061840996425026,2.75,263,0.1444866920152091,2.2539087962604873,0.39203035471863035,0.4307134161676034
CoRoT-2,CoRoT-2__2026-08-16,686,76,1.898209893943618,1.6054966001478048,550.75,52.50513562862502,2.75,263,0.1482889733840304,2.2539087962604873,0.39203035471863035,0.6902581432522248
CoRoT-2,CoRoT-2__2026-08-09,795,84,1.3287064652831426,1.59340156823991,772.0,39.471506488398944,2.75,282,0.1276595744680851,2.345843003162465,0.2578296935627411,0.4831659873756882
CoRoT-2,CoRoT-2__2026-08-09,710,86,0.6004981023209001,1.575436780296157,4543.75,18.0384645110263,2.75,282,0.13120567375886524,2.345843003162465,0.2578296935627411,0.2183629462985091
CoRoT-2,CoRoT-2__2026-08-09,734,86,0.8227807448856347,1.5738563988722405,1750.0,24.89624083656161,2.75,282,0.1347517730496454,2.345843003162465,0.2578296935627411,0.2991929981402308
CoRoT-2,CoRoT-2__2026-08-16,969,84,2.810756368606631,1.566071751584876,720.5,83.86337941326123,2.75,263,0.1520912547528517,2.2539087962604873,0.39203035471863035,1.0220932249478658
CoRoT-2,CoRoT-2__2026-08-16,922,85,0.9269295655795383,1.5583969768000203,1315.0,28.535501739994697,2.75,263,0.155893536121673,2.2539087962604873,0.39203035471863035,0.33706529657437756
CoRoT-2,CoRoT-2__2026-08-09,669,85,1.4258891450665236,1.5494692057554738,683.0,43.777585388234115,2.75,282,0.13829787234042554,2.345843003162465,0.2578296935627411,0.518505143660554
CoRoT-2,CoRoT-2__2026-08-16,963,83,1.2931809990068825,1.5329017058350582,817.5,39.353382241714066,2.75,263,0.1596958174904943,2.2539087962604873,0.39203035471863035,0.47024763600250274
CoRoT-2,CoRoT-2__2026-08-16,1017,85,0.6545576597301896,1.5274340235485537,1931.0,20.264604442091393,2.75,263,0.1634980988593156,2.2539087962604873,0.39203035471863035,0.2380209671746144
