track_id,x_first,y_first,median_flux,max_peak,persistence,session_id,in_ensemble,rms_ppt,n_points
148,58.90297978981128,168.89739040386715,320.9922180175781,652.0,1.0,TRES-5__2026-08-26,False,139.00534199257447,74
149,457.38395137568875,170.1418607193218,482.2521057128906,758.0,1.0,TRES-5__2026-08-26,False,51.68731949390221,74
150,197.17667019076976,175.68495942186473,767.5,643.0,1.0,TRES-5__2026-08-26,False,39.88491235708151,74
152,265.8679706601467,178.32518337408314,390.09466552734375,724.0,1.0,TRES-5__2026-08-26,False,79.22251783606542,74
153,332.0309265792459,179.23066008674923,1301.9080200195312,900.0,1.0,TRES-5__2026-08-26,False,27.808116444737575,74
155,205.2837902837903,185.12602212602212,2044.5,812.0,1.0,TRES-5__2026-08-26,False,20.750996688573228,74
156,56.987759017757504,182.57472023299883,762.7882080078125,686.0,1.0,TRES-5__2026-08-26,False,44.53772481352976,74
157,395.24727604527396,182.80146492850386,193.04986572265625,732.0,0.972972972972973,TRES-5__2026-08-26,False,85.85817911918329,72
159,166.4965682912278,183.7222688307924,382.40911865234375,606.0,1.0,TRES-5__2026-08-26,False,60.112655204260086,74
160,329.2951281250424,185.2763319575969,857.9605102539062,673.0,1.0,TRES-5__2026-08-26,False,41.30354910249652,74
161,154.51034232598326,186.9438944843964,2641.0,919.0,1.0,TRES-5__2026-08-26,False,15.040104157368098,74
162,461.40304697286007,189.03676165531115,1444.4895629882812,738.0,1.0,TRES-5__2026-08-26,False,19.000178032864206,74
163,503.76954991104486,187.59414991845028,168.66168212890625,598.0,0.8918918918918919,TRES-5__2026-08-26,False,85.75204111234109,66
164,163.57362042897182,190.48950897704646,736.0,713.0,1.0,TRES-5__2026-08-26,False,42.732828476647526,74
166,41.35140502130041,192.84683411592692,469.3033752441406,641.0,1.0,TRES-5__2026-08-26,False,94.46353161147258,74
167,52.03929258537949,192.93224699254264,230.38671875,664.0,1.0,TRES-5__2026-08-26,False,105.61055879967883,74
168,243.45982142857142,192.765625,434.9917907714844,618.0,1.0,TRES-5__2026-08-26,False,62.82837110303796,74
171,186.48661140615857,195.96055493083043,535.0,713.0,1.0,TRES-5__2026-08-26,False,52.01906995185242,74
